(فَا. مِن أَعْشَبَ)	مُعْشِبٌ-مُعْشِبٌ، ةٌ 	
(فَا. مِن أَعْصَفَ)	مُعْصِفٌ-مُعْصِفٌ، ةٌ 	
(فا. مِن أَعْضَلَ)	مُعْضِلٌ-مُعْضِلٌ، ة 	
(فَا. مِن أَعْطَبَ)	مُعْطِبٌ-مُعْطِبٌ، ةٌ 	
(فَا. مِن أَعْطَى)	مُعْطِي-مُعْطِي، مُعْطٍ، ةٌ 	
(فَا. مِن أَعْلَنَ)	مُعْلِنٌ-مُعْلِنٌ، ةٌ 	
(فَا. مِن أَعْمَى)	مُعْمِي-مُعْمِي، مُعْمٍ، ةٌ 	
(فَا. مِن أَعْوَزَ)	مُعْوِزٌ-مُعْوِزٌ، ةٌ 	
(فَا. مِن أَغَاثَ)	مُغِيثٌ-مُغِيثٌ، ةٌ 	
(فَا. مِنْ أَغْرَضَ)	مُغْرِضٌ-مُغْرِضٌ، ةٌ 	
(فَا. مِن أَغْرَى)	مُغْرِي-مُغْرِي، مُغْرٍ، ةٌ 	
(فا. من أَغْنَى)	مُغْنِي-مُغْنِي، مُغْنٍ، ة 	
(فا. من أَفَادَ)	مُفِيدٌ-مُفِيدٌ، ةٌ 	
(فَا. مِن أَفْتَى)	مُفْتِي-مُفْتِي، مُفْتٍ، ة 	
(فَا. مِن أَفْجَعَ)	مُفْجِعٌ-مُفْجِعٌ، ة 	
(فَا. مِن أَفْحَمَ)	مُفْحِمٌ-مُفْحِمٌ، ةٌ 	
(فَا. مِن أَفْرَحَ)	مُفْرِحٌ-مُفْرِحٌ، ةٌ 	
(فا. من أَفْرَطَ)	مُفْرِطٌ-مُفْرِطٌ، ةٌ 	
(فا. من أَفْزَعَ)	مُفْزِعٌ-مُفْزِعٌ، ةٌ 	
(فا. من أَفْسَدَ)	مُفْسِدٌ-مُفْسِدٌ، ةٌ 	
(فا. من أَفْشَى)	مُفْشِي-مُفْشِي، مُفْشٍ، ةٌ 	
(فا. من أَفْصَحَ)	مُفْصِحٌ-مُفْصِحٌ، ةٌ 	
(فا. من أَفَلَ)	آفِلٌ-آفِلٌ، ة 	
(فا. من أَفْلَسَ)	مُفْلِسٌ-مُفْلِسٌ، ةٌ 	
(فا. من أَفْلَقَ)	مُفْلِقٌ-مُفْلِقٌ، ةٌ 	
(فا. من أَقَامَ)	مُقِيمٌ-مُقِيمٌ، ةٌ 	
(فا. من أَقْبَلَ)	مُقْبِلٌ-مُقْبِلٌ، ةٌ 	
(فا. من أَقْذَعَ)	مُقْذِعٌ-مُقْذِعٌ، ةٌ 	
(فا. من أَقْرَضَ)	مُقْرِضٌ-مُقْرِضٌ، ةٌ 	
(فا. من أَقْرَفَ)	مُقْرِفٌ-مُقْرِفٌ، ةٌ 	
(فا. من أَقْسَطَ)	مُقْسِطٌ-مُقْسِطٌ، ةٌ 	
(فا. من أَقْفَرَ)	مُقْفِرٌ-مُقْفِرٌ، ةٌ 	
