(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. من قَلَى)	مَقْلِيٌّ-مَقْلِيٌّ، ةٌ 
(مفع. من قَمَعَ)	مَقْمُوعٌ-مَقْمُوعٌ، ةٌ 
(مفع. من قَمَّلَ)	مُقَمَّلٌ-مُقَمَّلٌ، ةٌ 
(مفع. من قَنْطَرَ)	مُقَنْطَرٌ-مُقَنْطَرٌ، ةٌ 
(مفع. من قَنَّعَ)	مُقَنَّعٌ-مُقَنَّعٌ، ةٌ 
(مفع. من قَوَّرَ)	مُقَوَّرٌ-مُقَوَّرٌ، ةٌ 
(مفع. من قَوَّسَ)	مُقَوَّسٌ-مُقَوَّسٌ، ةٌ 
(مفع. من قَوَّضَ)	مُقَوَّضٌ-مُقَوَّضٌ، ةٌ 
(مفع. من قَوْلَبَ)	مُقَوْلَبٌ-مُقَوْلَبٌ، ةٌ 
(مفع. من قَوَّمَ)	مُقَوَّمٌ-مُقَوَّمٌ، ةٌ 
(مفع. من قَوَّى)	مُقَوّىً-مُقَوّىً
(مفع. من قَيَّدَ)	مُقَيَّدٌ-مُقَيَّدٌ، ةٌ 
(مفع. مِن كَافَأَ)	مُكَافَأٌ-مُكَافَأٌ 
(مفع. من كَبَتَ)	مَكْبُوتٌ-مَكْبُوتٌ ، ة 
(مفع. من كَتَبَ)	مَكْتُوبٌ-مَكْتُوبٌ، ة  
(مفع. من كَتَفَ)	مَكْتُوفٌ-مَكْتُوفٌ، ةٌ 
(مفع. من كَتَّلَ)	مُكَتَّلٌ-مُكَتَّلٌ، ةٌ 
(مفع. من كَتَمَ)	مَكْتُومٌ-مَكْتُومٌ، ةٌ 
(مفع. من كَثَّرَ)	مُكَثَّرٌ-مُكَثَّرٌ، ةٌ 
(مفع. من كَثَّفَ)	مُكَثَّفٌ-مُكَثَّفٌ، ةٌ 
(مفع. من كَدَّ)	مَكْدُودٌ-مَكْدُودٌ، ةٌ 
(مفع. من كَدَّرَ)	مُكَدَّرٌ-مُكَدَّرٌ، ةٌ 
(مفع. من كَرَبَ)	مَكْرُوبٌ-مَكْرُوبٌ، ةٌ 
(مفع. من كَرَّرَ)	مُكَرَّرٌ-مُكَرَّرٌ، ةٌ 
(مفع. من كَرَّسَ)	مُكَرَّسٌ-مُكَرَّسٌ، ةٌ 
(مفع. من كَرَّمَ)	مُكَرَّمٌ-مُكَرَّمٌ، ةٌ 
(مفع. من كَرِهَ)	مَكْرُوهٌ-مَكْرُوهٌ، ةٌ 
(مفع. من كَسَرَ)	مَكْسُورٌ-مَكْسُورٌ، ةٌ 
(مفع. من كَسَّرَ)	مُكَسَّرٌ-مُكَسَّرٌ، ةٌ 
(مفع. من كَشَفَ)	مَكْشُوفٌ-مَكْشُوفٌ، ةٌ 
(مفع. من كَظَمَ)	مَكْظُومٌ-مَكْظُومٌ، ةٌ 
(مفع. من كَفَّ)	مَكْفُوفٌ-مَكْفُوفٌ، ةٌ 
(مفع. من كَفَلَ)	مَكْفُولٌ-مَكْفُولٌ، ةٌ 
(مفع. من كَفَّنَ)	مُكَفَّنٌ-مُكَفَّنٌ، ةٌ 
(مفع. من كَلَّفَ)	مُكَلَّفٌ-مُكَلَّفٌ، ةٌ 
(مفع. من كَلَّلَ)	مُكَلَّلٌ-مُكَلَّلٌ، ةٌ 
(مفع. من كَمَّ)	مَكْمُومٌ-مَكْمُومٌ، ةٌ 
(مفع. من كَمِدَ)	مَكْمُودٌ-مَكْمُودٌ، ةٌ 
(مفع. من كَمَّمَ)	مُكَمَّمٌ-مُكَمَّمٌ، ةٌ 
(مفع. من كَنَّ)	مَكْنُونٌ-مَكْنُونٌ، ةٌ 
(مفع. من كَنَّى)	مُكَنّىً-مُكَنّىً
(مفع. من كَهْرَبَ)	مُكَهْرَبٌ-مُكَهْرَبٌ ، ة 
(مفع. من كَوَّرَ)	مُكَوَّرٌ-مُكَوَّرٌ، ةٌ 
(مفع. من كَوَّمَ)	مُكَوَّمٌ-مُكَوَّمٌ، ةٌ 
(مفع. من كَوَّنَ)	مُكَوَّنٌ-مُكَوَّنٌ، ةٌ 
(مفع. من كَوَى)	مَكْوِيٌّ-مَكْوِيٌّ، ةٌ 
(مفع. من كَيَّفَ)	مُكَيَّفٌ-مُكَيَّفٌ، ةٌ 
(مفع. من لاَحَقَ)	مُلاَحَقٌ-مُلاَحَقٌ، ةٌ 
(مفع. من لاَمَ)	مُلاَمٌ-مُلاَمٌ ، ة 
(مفع. من لاَمَ)	مَلُومٌ-مَلُومٌ، ةٌ 
(مفع. من لَبَّدَ)	مُلَبَّدٌ-مُلَبَّدٌ، ةٌ 
(مفع. من لَبَّسَ)	مُلَبَّسٌ-مُلَبَّسٌ، ةٌ 
(مفع. من لَحَظَ)	مَلْحُوظٌ-مَلْحُوظٌ، ةٌ 
(مفع. من لَحَنَ)	مَلْحُونٌ-مَلْحُونٌ 
(مفع. من لَحَّنَ)	مُلَحَّنٌ-مُلَحَّنٌ، ةٌ 
(مفع. من لَخَّصَ)	مُلَخَّصٌ-مُلَخَّصٌ، ةٌ 
(مفع. من لَدَّنَ)	مُلَدَّنٌ-مُلَدَّنٌ، ةٌ 
(مفع. من لَسَعَ)	مَلْسُوعٌ-مَلْسُوعٌ، ةٌ 
(مفع. من لَسَّنَ)	مُلَسَّنٌ-مُلَسَّنٌ، ةٌ 
(مفع. من لَطَّفَ)	مُلَطَّفٌ-مُلَطَّفٌ، ةٌ 
(مفع. من لَعَنَ)	مَلْعُونٌ-مَلْعُونٌ، ةٌ 
(مفع. من لَغَمَ)	مَلْغُومٌ-مَلْغُومٌ، ةٌ 
(مفع. من لَفَّ)	مَلْفُوفٌ-مَلْفُوفٌ، ةٌ 
(مفع. من لَفَظَ)	مَلْفُوظٌ-مَلْفُوظٌ، ةٌ 
(مفع. من لَفَّقَ)	مُلَفَّقٌ-مُلَفَّقٌ، ةٌ 
(مفع. من لَقَّنَ)	مُلَقَّنٌ-مُلَقَّنٌ، ةٌ 
(مفع. من لَقَّى)	مُلَقّىً-مُلَقّىً 
(مفع. من لَمَّ)	مَلْمُومٌ-مَلْمُومٌ، ةٌ 
(مفع. من لَمَسَ)	مَلْمُوسٌ-مَلْمُوسٌ، ةٌ 
(مفع. من لَمَّعَ)	مُلَمَّعٌ-مُلَمَّعٌ، ةٌ 
(مفع. من لَمْلَمَ)	مُلَمْلَمٌ-مُلَمْلَمٌ، ةٌ 
(مفع. من لَهِفَ)	مَلْهُوفٌ-مَلْهُوفٌ، ةٌ 
(مفع. من لَوَّثَ)	مُلَوَّثٌ-مُلَوَّثٌ، ةٌ 
(مفع. من لَوَّزَ)	مُلَوَّزٌ-مُلَوَّزٌ، ةٌ 
(مفع. من لَوْلَبَ)	مُلَوْلَبٌ-مُلَوْلَبٌ ، ة 
(مفع. من لَوَّنَ)	مُلَوَّنٌ-مُلَوَّنٌ، ةٌ 
(مفع. من لَيَّنَ)	مُلَيَّنٌ-مُلَيَّنٌ، ةٌ 
(مفع. من مَارَسَ)	مُمَارَسٌ-مُمَارَسٌ، ةٌ 
(مفع. من مَحَا)	مَمْحُوٌّ-مَمْحُوٌّ ، ة 
(مفع. من مَخَضَ)	مَمْخُوضٌ-مَمْخُوضٌ ، ة 
(مفع. من مَدَّ)	مُمَدَّدٌ-مُمَدَّدٌ، ةٌ 
(مفع. من مَدَّ)	مَمْدُودٌ-مَمْدُودٌ، ةٌ 
(مفع. من مَدَحَ)	مَمْدوحٌ-مَمْدوحٌ، ةٌ 
(مفع. من مَدَّنَ)	مُمَدَّنٌ-مُمَدَّنٌ ، ة 
(مفع. من مَرَّنَ)	مُمَرَّنٌ-مُمَرَّنٌ، ةٌ 
(مفع. من مَزَجَ)	مَمْزُوجٌ-مَمْزُوجٌ، ةٌ 
(مفع. من مَسَخَ)	مَمْسُوخٌ-مَمْسُوخٌ ، ة 
(مفع. من مَسَّكَ)	مُمَسَّكٌ-مُمَسَّكٌ، ةٌ 
(مفع. من مَشَطَ)	مَمْشُوطٌ-مَمْشُوطٌ، ةٌ 
(مفع. من مَشَقَ)	مَمْشُوقٌ-مَمْشُوقٌ، ةٌ 
(مفع. من مَغْنَطَ)	مُمَغْنَطٌ-مُمَغْنَطٌ، ةٌ 
(مفع. من مَقَتَ)	مَمْقُوتٌ-مَمْقُوتٌ، ةٌ 
(مفع. من مَلأَ)	مَمْلُوءٌ-مَمْلُوءٌ
(مفع. من مَلَّحَ)	مُمَلَّحٌ-مُمَلَّحٌ، ةٌ 
(مفع. من مَلَكَ)	مَمْلُوكٌ-مَمْلُوكٌ ، ة 
(مفع. من مَنَّ)	مَمْنُونٌ-مَمْنُونٌ، ةٌ 
(مفع. من مَنَحَ)	مَمْنُوحٌ-مَمْنُوحٌ، ةٌ 
(مفع. من مَنَعَ)	مَمْنُوعٌ-مَمْنُوعٌ، ةٌ 
(مفع. من مَهَّدَ)	مُمَهَّدٌ-مُمَهَّدٌ، ةٌ 
(مفع. من مَوَّنَ)	مُمَوَّنٌ-مُمَوَّنٌ، ةٌ 
(مفع. من مَوَّهَ)	مُمَوَّهٌ-مُمَوَّهٌ، ةٌ 
(مفع. من مَيَّزَ)	مُمَيَّزٌ-مُمَيَّزٌ، ةٌ 
(مفع. من نَازَعَ)	مُنَازَعٌ-مُنَازَعٌ ، ة 
(مفع. من نَاطَ)	مَنُوطٌ-مَنُوطٌ ، ة 
(مفع. من نَبَذَ)	مَنْبُوذٌ-مَنْبُوذٌ، ةٌ 
(مفع. من نَتَّنَ)	مُنَتَّنٌ-مُنَتَّنٌ، ةٌ 
(مفع. من نَجَّدَ)	مُنَجَّدٌ-مُنَجَّدٌ، ةٌ 
(مفع. من نَحَتَ)	مَنْحُوتٌ-مَنْحُوتٌ، ةٌ 
(مفع. من نَحَسَ)	مَنْحُوسٌ-مَنْحُوسٌ، ة  
(مفع. من نَزَعَ)	مَنْزُوعٌ-مَنْزُوعٌ، ةٌ 
(مفع. من نَزَفَ)	مَنْزُوفٌ-مَنْزُوفٌ، ةٌ 
(مفع. من نَزَّهَ)	مُنَزَّهٌ-مُنَزَّهٌ ، ةٌ 
(مفع. من نَسَبَ)	مَنْسُوبٌ-مَنْسُوبٌ ، ة 
(مفع. من نَسَجَ)	مَنْسُوجٌ-مَنْسُوجٌ، ةٌ 
(مفع. من نَسَخَ)	مَنْسُوخٌ-مَنْسُوخٌ، ةٌ 
(مفع. من نَسَقَ)	مَنْسُوقٌ-مَنْسُوقٌ، ةٌ 
(مفع. من نَسَّقَ)	مُنَسَّقٌ-مُنَسَّقٌ، ةٌ 
(مفع. من نَسِيَ)	مَنْسِيٌّ-مَنْسِيٌّ، ةٌ 
(مفع. من نَشَدَ)	مَنْشُودٌ-مَنْشُودٌ، ةٌ 
(مفع. من نَشَرَ)	مَنْشُورٌ-مَنْشُورٌ ، ة 
(مفع. من نَشَّطَ)	مُنَشَّطٌ-مُنَشَّطٌ، ةٌ 
(مفع. من نَصَّ)	مَنْصُوصٌ-مَنْصُوصٌ، ةٌ 
(مفع. من نَصَبَ)	مَنْصُوبٌ-مَنْصُوبٌ، ةٌ 
(مفع. من نَضَدَ)	مَنْضُودٌ-مَنْضُودٌ، ةٌ 
(مفع. من نَضَّدَ)	مُنَضَّدٌ-مُنَضَّدٌ، ةٌ 
(مفع. من نَطَقَ)	مَنْطُوقٌ-مَنْطُوقٌ ، ة 
(مفع. من نَظَرَ)	مَنْظُورٌ-مَنْظُورٌ، ةٌ 
(مفع. من نَظَّفَ)	مُنَظَّفٌ-مُنَظَّفٌ، ةٌ 
(مفع. من نَظَّمَ)	مُنَظَّمٌ-مُنَظَّمٌ، ةٌ 
(مفع. مِنْ نَظَمَ)	مَنْظُومٌ-مَنْظُومٌ، ةٌ 
(مفع. من نَعَّمَ)	مُنَعَّمٌ-مُنَعَّمٌ، ةٌ 
(مفع. من نَغَّمَ)	مُنَغَّمٌ-مُنَغَّمٌ، ةٌ 
(مفع. من نَفَخَ)	مَنْفُوخٌ-مَنْفُوخٌ، ةٌ 
(مفع. من نَفَّذَ)	مُنَفَّذٌ-مُنَفَّذٌ، ةٌ 
(مفع. من نَفَشَ )	مَنْفُوشٌ-مَنْفُوشٌ، ةٌ 
(مفع. من نَفَضَ)	مَنْفُوضٌ-مَنْفُوضٌ، ةٌ 
(مفع. من نَفَى)	مَنْفِيٌّ-مَنْفِيٌّ، ةٌ 
(مفع. من نَقَبَ)	مَنْقُوبٌ-مَنْقُوبٌ، ةٌ 
(مفع. من نَقَّحَ)	مُنَقَّحٌ-مُنَقَّحٌ، ةٌ 
(مفع. من نَقَشَ)	مَنْقُوشٌ-مَنْقُوشٌ، ةُ 
(مفع. من نَقَطَ)	مَنْقُوطٌ-مَنْقُوطٌ ، ة 
(مفع. من نَقَّطَ)	مُنَقَّطٌ-مُنَقَّطٌ، ةٌ 
(مفع. من نَقَعَ)	مَنْقُوعٌ-مَنْقُوعٌ ، ة 
(مفع. من نَقَلَ)	مَنْقُولٌ-مَنْقُولٌ، ةٌ 
(مفع. من نَكَبَ)	مَنْكُوبٌ-مَنْكُوبٌ، ةٌ 
(مفع. من نَكَدَ)	مَنْكُودٌ-مَنْكُودٌ، ةٌ 
(مفع. من نَكَّدَ)	مُنَكَّدٌ-مُنَكَّدٌ ، ة 
(مفع. من نَكَّرَ)	مُنَكَّرٌ-مُنَكَّرٌ، ةٌ 
(مفع. من نَكَسَ)	مَنْكُوسٌ-مَنْكُوسٌ ، ة 
(مفع. من نَكَّسَ)	مُنَكَّسٌ-مُنَكَّسٌ ، ة 
(مفع. من نَكَشَ)	مَنْكُوشٌ-مَنْكُوشٌ، ةٌ 
(مفع. من نَمَّقَ)	مُنَمَّقٌ-مُنَمَّقٌ، ةٌ 
(مفع. من نَمْنَمَ)	مُنَمْنَمٌ-مُنَمْنَمٌ، ةٌ 
(مفع. من نَهَكَ)	مَنْهُوكٌ-مَنْهُوكٌ، ةٌ 
(مفع. من نَهَى)	مَنْهِيٌّ-مَنْهِيٌّ، ةٌ 
(مفع. من نَوَّرَ)	مُنَوَّرٌ-مُنَوَّرٌ، ةٌ 
(مفع. من نَوَّعَ)	مُنَوَّعٌ-مُنَوَّعٌ، ةٌ 
(مفع. من هَاضَ)	مَهِيضٌ-مَهِيضٌ، ةٌ 
(مفع. من هَالَ)	مَهُولٌ-مَهُولٌ ، ة 
(مفع. من هَبِلَ)	مَهْبُولٌ-مَهْبُولٌ، ةٌ 
(مفع. من هَجَا)	مَهْجُوٌّ-مَهْجُوٌّ، ةٌ 
(مفع. من هَجَرَ)	مَهْجُورٌ-مَهْجُورٌ، ةٌ 
(مفع. من هَجَّرَ)	مُهَجَّرٌ-مُهَجَّرٌ، ةٌ 
(مفع. من هَدَّدَ)	مُهَدَّدٌ-مُهَدَّدٌ، ةٌ 
(مفع. من هَدَّمَ)	مُهَدَّمٌ-مُهَدَّمٌ، ةٌ 
(مفع. من هَدَى)	مَهْدِيٌّ-مَهْدِيٌّ، ةٌ 
(مفع. من هَذَّبَ)	مُهَذَّبٌ-مُهَذَّبٌ، ةٌ 
(مفع. من هَرَّبَ)	مُهَرَّبٌ-مُهَرَّبٌ، ةٌ 
(مفع. من هَزَلَ)	مَهْزُولٌ-مَهْزُولٌ، ةٌ 
(مفع. من هَزَمَ)	مَهْزُومٌ-مَهْزُومٌ، ةٌ 
(مفع. من هَشَّمَ)	مُهَشَّمٌ-مُهَشَّمٌ، ةٌ 
(مفع. من هَضَمَ)	مَهْضُومٌ-مَهْضُومٌ ، ة 
(مفع. من هَفْهَفَ)	مُهَفْهَفٌ-مُهَفْهَفٌ، ةٌ 
(مفع. من هَلْهَلَ)	مُهَلْهَلٌ-مُهَلْهَلٌ، ةٌ 
(مفع. من هَمَّ)	مَهْمُومٌ-مَهْمُومٌ، ةٌ 
(مفع. من هَمَسَ)	مَهْمُوسٌ-مَهْمُوسٌ، ةٌ 
(مفع. من هَمَّشَ)	مُهَمَّشٌ-مُهَمَّشٌ، ةٌ 
(مفع. من هَنَّدَ)	مُهَنَّدٌ-مُهَنَّدٌ ، ة 
(مفع. من هَوَّسَ)	مُهَوَّسٌ-مُهَوَّسٌ، ةٌ 
(مفع. من وَبِئَ)	مَوْبُوءٌ-مَوْبُوءٌ
(مفع. من وَتَرَ)	مَوْتُورٌ-مَوْتُورٌ، ةٌ 
(مفع. من وَثِقَ)	مَوْثُوقٌ-مَوْثُوقٌ، ةٌ 
(مفع. من وَثَّقَ)	مُوَثَّقٌ-مُوَثَّقٌ، ةٌ 
(مفع. من وَجَدَ)	مَوْجُودٌ-مَوْجُودٌ، ةٌ 
(مفع. من وَجَّهَ)	مُوَجَّهٌ-مُوَجَّهٌ، ةٌ 
(مفع. من وَحَّدَ)	مُوَحَّدٌ-مُوَحَّدٌ، ةٌ 
(مفع. من وَرِثَ)	مَوْرُوثٌ-مَوْرُوثٌ، ةٌ 
(مفع. من وَرَّدَ)	مُوَرَّدٌ-مُوَرَّدٌ ، ة 
(مفع. من وَرَّمَ)	مُوَرَّمٌ-مُوَرَّمٌ، ةٌ 
(مفع. من وَزَّعَ)	مُوَزَّعٌ-مُوَزَّعٌ، ةٌ 
(مفع. من وَزَنَ)	مَوْزُونٌ-مَوْزُونٌ، ةٌ 
(مفع. من وَسَّخَ)	مُوَسَّخٌ-مُوَسَّخٌ، ةٌ 
(مفع. من وَسَّعَ)	مُوَسَّعٌ-مُوَسَّعٌ ، ة 
(مفع. من وَسْوَسَ)	مُوَسْوَسٌ-مُوَسْوَسٌ، ةٌ 
(مفع. من وَشَّحَ)	مُوَشَّحٌ-مُوَشَّحٌ، ةٌ 
(مفع. من وَشَّى)	مُوَشّىً-مُوَشّىً
(مفع. من وَصَفَ)	مَوْصُوفٌ-مَوْصُوفٌ، ةٌ 
(مفع. من وَصَلَ)	مَوْصُولٌ-مَوْصُولٌ، ةٌ 
(مفع. من وَصَمَ)	مَوْصُومٌ-مَوْصُومٌ، ةٌ 
(مفع. من وَضَّحَ)	مُوَضَّحٌ-مُوَضَّحٌ، ةٌ 
(مفع. من وَطَّأَ)	مُوَطَّأٌ-مُوَطَّأٌ
(مفع. من وَطَّدَ)	مُوَطَّدٌ-مُوَطَّدٌ ، ة 
(مفع. من وَظَّفَ).	مُوَظَّفٌ-مُوَظَّفٌ، ةٌ 
(مفع. من وَعَدَ)	مَوْعُودٌ-مَوْعُودٌ، ةٌ 
(مفع. من وَعَكَ)	مَوْعُوكٌ-مَوْعُوكٌ، ةٌ 
(مفع. من وَفَرَ)	مَوْفُورٌ-مَوْفُورٌ، ةٌ 
(مفع. من وَفَّقَ)	مُوَفَّقٌ-مُوَفَّقٌ، ةٌ 
(مفع. من وَقَتَ)	مَوْقُوتٌ-مَوْقُوتٌ، ةٌ 
(مفع. من وَقَّتَ)	مُوَقَّتٌ-مُوَقَّتٌ، ةٌ 
(مفع. من وَقَّرَ)	مُوَقَّرٌ-مُوَقَّرٌ، ةٌ 
(مفع. من وَقَّعَ)	مُوَقَّعٌ-مُوَقَّعٌ، ةٌ 
(مفع. من وَقَفَ)	مَوْقُوفٌ-مَوْقُوفٌ، ةٌ 
(مفع. من وَكَّلَ)	مُوَكَّلٌ-مُوَكَّلٌ، ةٌ 
(مفع. من وَلَدَ)	مَوْلُودٌ-مَوْلُودٌ، ةٌ 
(مفع. من وَلَّدَ)	مُوَلَّدٌ-مُوَلَّدٌ، ةٌ 
(مفع. من وَلَّعَ)	مُوَلَّعٌ-مُوَلَّعٌ، ةٌ 
(مفع. من وَلَّهَ)	مُوَلَّهٌ-مُوَلَّهٌ، ةٌ 
(مفع. من وَهَبَ)	مَوْهُوبٌ-مَوْهُوبٌ، ةٌ 
(مفع. من وَهَمَ)	مَوْهُومٌ-مَوْهُومٌ، ةٌ 
(مفع. من وَهَنَ)	مَوْهُونٌ-مَوْهُونٌ، ةٌ 
(مفع. من يَئِسَ)	مَيْؤُوسٌ-مَيْؤُوسٌ، ةٌ 
(مفع. من يَسَّرَ)	مُيَسَّرٌ-مُيَسَّرٌ، ةٌ 
(مفع. مِن يَسَرَ)	مَيْسُورٌ-مَيْسُورٌ ، ة 
(مفع. من يَمَّمَ)	مُيَمَّمٌ-مُيَمَّمٌ، ةٌ 
(مفع. من يَمَّنَ)	مُيَمَّنٌ-مُيَمَّنٌ، ةٌ 
(مفع. مِنْ: اِسْتَأْنَفَ)	مُسْتَأْنَفٌ-مُسْتَأْنَفٌ ، ةٌ 
(مفع. من وَضَعَ)	مَوْضُوعٌ-مَوْضُوعٌ، ةٌ 
(مفع. من اِنْسابَ)	مُنْسَابٌ-مُنْسَابٌ، ةٌ 
